<HTML>
<TITLE>University of Wyoming - Radiosonde Data</TITLE>
<BODY BGCOLOR="white">
<H2>71109 YZT Port Hardy Observations at 00Z 01 Jul 2013</H2>
<PRE>
-----------------------------------------------------------------------------
   PRES   HGHT   TEMP   DWPT   RELH   MIXR   DRCT   SKNT   THTA   THTE   THTV
    hPa     m      C      C      %    g/kg    deg   knot     K      K      K 
-----------------------------------------------------------------------------
  219.0  11530  -54.3  -63.3     32   0.03    215    106  337.7  337.9  337.7
  217.2  11582  -54.5  -63.9     31   0.03    215    106  338.2  338.4  338.2
  200.0  12110  -56.1  -69.1     18   0.02    210     91  343.8  343.9  343.8
  195.0  12271  -56.9  -69.9     18   0.02    210     88  345.0  345.1  345.0
  186.0  12573  -55.5  -75.5      7   0.01    208     78  351.9  352.0  351.9
  178.0  12856  -51.7  -84.7      1   0.00    206     68  362.6  362.6  362.6
  171.0  13118  -51.5  -84.5      1   0.00    204     60  367.1  367.1  367.1
  156.0  13716  -51.9  -84.9      1   0.00    200     40  376.2  376.2  376.2
  150.0  13970  -52.1  -85.1      1   0.00    195     44  380.1  380.1  380.1
  142.0  14326  -51.2  -85.1      1   0.00    195     50  387.7  387.7  387.7
  141.0  14371  -51.1  -85.1      1   0.00    195     49  388.6  388.6  388.6
  123.2  15240  -53.3  -86.5      1   0.00    205     25  399.8  399.8  399.8
  119.0  15465  -53.9  -86.9      1   0.00    220     25  402.8  402.8  402.8
  117.5  15545  -53.7  -86.7      1   0.00    225     25  404.5  404.5  404.5
  112.1  15850  -53.1  -86.1      1   0.00    185     24  411.2  411.2  411.2
  112.0  15855  -53.1  -86.1      1   0.00    185     24  411.3  411.3  411.3
  110.0  15972  -50.1  -84.1      1   0.00    189     22  419.1  419.1  419.1
  108.0  16091  -49.7  -83.7      1   0.00    193     19  422.0  422.1  422.0
  107.0  16154  -50.2  -84.0      1   0.00    195     18  422.3  422.3  422.3
  102.0  16459  -52.5  -85.8      1   0.00    175     17  423.6  423.6  423.6
  100.0  16590  -53.5  -86.5      1   0.00    175     17  424.1  424.1  424.1
   97.3  16764  -53.7  -86.5      1   0.00    190     24  426.9  426.9  426.9
   88.5  17374  -54.5  -86.7      1   0.00    225     10  437.1  437.1  437.1
   86.9  17491  -54.7  -86.7      1   0.00    170     10  439.0  439.0  439.0
   84.4  17678  -55.7  -87.7      1   0.00     80     10  440.7  440.7  440.7
   81.1  17930  -57.1  -89.1      1   0.00    115     15  442.9  442.9  442.9
   80.4  17983  -56.8  -88.9      1   0.00    130     17  444.5  444.5  444.5
   76.7  18288  -55.3  -87.9      1   0.00    170     10  453.8  453.8  453.8
   73.4  18566  -53.9  -86.9      1   0.00    124     13  462.4  462.4  462.4
   73.1  18593  -53.9  -86.9      1   0.00    120     13  462.9  463.0  462.9
   70.0  18870  -54.1  -87.1      1   0.00    120     13  468.3  468.3  468.3
   69.7  18898  -54.1  -87.1      1   0.00    120     13  468.9  468.9  468.9
   66.5  19202  -53.9  -86.9      1   0.00    170     14  475.7  475.8  475.7
   60.5  19812  -53.5  -86.5      1   0.00     80     10  489.7  489.7  489.7
   57.6  20117  -53.3  -86.3      1   0.00     80     13  496.8  496.9  496.8
   55.0  20422  -53.1  -86.1      1   0.00     90     12  504.1  504.1  504.1
   52.4  20726  -52.9  -85.9      1   0.00    105     16  511.4  511.4  511.4
   50.0  21030  -52.7  -85.7      1   0.01    105     17  518.8  518.9  518.8
   48.7  21200  -51.9  -84.9      1   0.01     94     18  524.7  524.7  524.7
   47.7  21336  -51.8  -84.8      1   0.01     85     18  528.1  528.2  528.1
   45.5  21641  -51.5  -84.6      1   0.01     95     18  536.0  536.1  536.0
   43.4  21946  -51.1  -84.4      1   0.01     95     20  544.0  544.1  544.0
   41.4  22250  -50.8  -84.2      1   0.01    110     16  552.1  552.1  552.1
   39.5  22555  -50.5  -84.0      1   0.01     80     19  560.3  560.4  560.3
   36.0  23165  -49.9  -83.5      1   0.01    110     17  577.1  577.2  577.1
   32.8  23774  -49.3  -83.1      1   0.01    110     12  594.4  594.5  594.4
   31.3  24079  -49.0  -82.9      1   0.01    100     17  603.3  603.4  603.3
   30.0  24350  -48.7  -82.7      1   0.01     85     18  611.3  611.4  611.3
   29.9  24384  -48.7  -82.7      1   0.01     75     23  612.2  612.4  612.2
   28.5  24689  -48.5  -82.6      1   0.02     75     26  621.0  621.1  621.0
   27.2  24994  -48.2  -82.6      1   0.02     80     29  629.9  630.0  629.9
   26.0  25298  -48.0  -82.5      1   0.02    100     25  638.8  639.0  638.8
   22.6  26213  -47.4  -82.3      1   0.02    105     21  666.6  666.8  666.6
   22.3  26306  -47.3  -82.3      1   0.02     97     21  669.5  669.7  669.5
   21.6  26518  -46.7  -81.7      1   0.02     80     20  677.5  677.8  677.5
   20.6  26822  -45.7  -80.7      1   0.03    100     18  689.2  689.5  689.2
   20.0  27030  -45.1  -80.1      1   0.03     75     16  697.4  697.7  697.4
   19.7  27127  -44.9  -80.0      1   0.03     70     18  700.8  701.2  700.8
   18.9  27432  -44.2  -79.5      1   0.04     70     22  711.9  712.3  711.9
   18.0  27737  -43.6  -79.0      1   0.04     60     34  723.1  723.5  723.1
   15.8  28651  -41.7  -77.7      1   0.06    100     29  757.7  758.4  757.7
   15.1  28956  -41.0  -77.2      1   0.07     90     34  769.6  770.4  769.6
   14.4  29261  -40.4  -76.8      1   0.08    105     36  781.6  782.5  781.7
   13.2  29870  -39.1  -75.9      1   0.10     80     21  806.3  807.5  806.4
   12.6  30175  -38.4  -75.4      1   0.11     90     33  819.0  820.3  819.0
   12.1  30480  -37.8  -75.0      1   0.12     95     21  831.8  833.3  831.9
   11.0  31090  -36.5  -74.1      1   0.15     95     30  858.0  859.9  858.1
   10.5  31394  -35.9  -73.6      1   0.17     90     22  871.4  873.6  871.5
   10.1  31699  -35.2  -73.2      1   0.19     75     35  885.0  887.5  885.2
   10.0  31750  -35.1  -73.1      1   0.19     80     35  887.4  889.8  887.5
    9.2  32309  -33.9  -72.4      1   0.23     95     29  912.3  915.4  912.4
    8.8  32614  -33.2  -72.0      1   0.26     85     42  926.2  929.6  926.4
    8.1  33223  -31.9  -71.2      1   0.32    105     34  954.6  958.9  954.8
    7.8  33528  -31.3  -70.8      1   0.35    105     38  969.1  973.9  969.3
    7.2  34064  -30.1  -70.1      1   0.42                995.1 1001.0  995.4
</PRE><H3>Station information and sounding indices</H3><PRE>
                         Station identifier: YZT
                             Station number: 71109
                           Observation time: 130701/0000
                           Station latitude: 50.68
                          Station longitude: -127.36
                          Station elevation: 17.0
                            Showalter index: 1.22
                               Lifted index: 4.33
    LIFT computed using virtual temperature: 4.29
                                SWEAT index: 183.00
                                    K index: 30.70
                         Cross totals index: 21.80
                      Vertical totals index: 25.70
                        Totals totals index: 47.50
      Convective Available Potential Energy: 0.00
             CAPE using virtual temperature: 0.00
                      Convective Inhibition: 0.00
             CINS using virtual temperature: 0.00
                     Bulk Richardson Number: 0.00
          Bulk Richardson Number using CAPV: 0.00
  Temp [K] of the Lifted Condensation Level: 284.00
Pres [hPa] of the Lifted Condensation Level: 908.35
   Equivalent potential temp [K] of the LCL: 317.89
     Mean mixed layer potential temperature: 291.94
              Mean mixed layer mixing ratio: 9.07
              1000 hPa to 500 hPa thickness: 5617.00
Precipitable water [mm] for entire sounding: 30.16
</PRE>
<P>Description of the 
<A HREF="/upperair/columns.html">data columns</A>
or <A HREF="/upperair/indices.html">sounding indices</A>.

<P>
<FORM>
<INPUT CLASS="button" TYPE="button" VALUE=" Close this window " 
 onClick="window.close();">
<INPUT CLASS="button" TYPE="button" VALUE=" Select another map " 
 onClick="window.blur();">
</FORM>
<HR SIZE="1">
<I>Interested in graduate studies in atmospheric science?
Check out our program at the
<a href="http://www.uwyo.edu/atsc/howtoapply/"
target=_top>University of Wyoming
</a></I>
<HR SIZE="1"><FONT SIZE="-1">
Questions about the weather data provided by this site can be
addressed to <A HREF="mailto:ldoolman@uwyo.edu">
Larry Oolman (ldoolman@uwyo.edu)</A></FONT>
<HR SIZE="1">
<SCRIPT TYPE="text/javascript">
<!--
window.focus();
// -->
</SCRIPT>
</BODY>
</HTML>
